SRR8746724
SRR8746725
SRR8746726
SRR8746728
SRR8746729
SRR8746730
SRR8746731
SRR8746732
SRR8746733
SRR8746734
SRR8746735
SRR3472897
SRR3472898
SRR3472899
SRR3472900
SRR3472901
SRR5952558
SRR5952559
SRR5952560
SRR5952561
SRR5952562
SRR5952563
SRR5952564
SRR5952565
SRR5952566
SRR5952567
SRR6216698
SRR6216699
SRR6216700
SRR6216701
SRR6080095
SRR6080096
SRR6080097
SRR6080098
SRR6080099
SRR6080100
SRR5139383
SRR5139384
SRR5139385
SRR5139386
SRR5139387
SRR5139388
SRR5139389
SRR5139390
SRR5164432
SRR5164433
SRR5164434
SRR5164435
SRR10353974
SRR10353975
SRR10353977
SRR10071299
SRR10071300
SRR10071301
SRR10071302
SRR10071303
SRR10071304
SRR10071305
SRR10071306
SRR10071307
SRR10071308
SRR10071309
SRR10071310
SRR10071311
SRR10071312
SRR10071313
SRR10071315
SRR10071316
SRR10071317
SRR10071318
SRR10071319
SRR10353972
SRR10353973
SRR10353976
SRR10353978
SRR10846487
SRR10846488
SRR10846489
SRR10846490
SRR10846491
SRR10846492
SRR10846493
SRR10846494
SRR10071314
SRR10423432
SRR10423433
SRR10423446
SRR10423425
SRR10423419
SRR10423439
SRR10423423
SRR10423427
SRR10423434
SRR10423438
SRR10423442
SRR10423431
SRR10423418
SRR10423447
SRR10423420
SRR10423440
SRR10423430
SRR10423445
SRR10423421
SRR10423428
SRR10423436
SRR10423424
SRR10423422
SRR10423444
SRR8746727
SRR10423426
SRR10423437
SRR10423443
SRR10423435
SRR10423441
SRR10423429

