,log2FC,padj
LOC_Os04g43580,3.02165,4.13825E-06
LOC_Os04g46580,1.40865,0.0333044
LOC_Os04g47170,1.91194,0.0061413
LOC_Os04g49570,1.09917,0.0424906
LOC_Os04g52670,3.03615,0.00123544
LOC_Os04g53800,4.21285,0.000252616
LOC_Os04g54930,1.33017,0.0107487
LOC_Os04g54940,1.46669,0.00324073
LOC_Os04g58710,1.5449,0.0238287
LOC_Os05g01256,1.83286,0.0025899
LOC_Os05g02070,3.27576,1.22594E-07
LOC_Os05g02980,1.05696,0.0414084
LOC_Os05g03440,1.77549,0.000559174
LOC_Os05g03884,4.98029,8.02414E-05
LOC_Os05g03920,5.34245,0.0161723
LOC_Os05g05820,1.90766,0.000417306
LOC_Os05g07600,1.84324,0.00287596
LOC_Os05g07840,1.79769,5.43824E-05
LOC_Os05g11210,4.8617,3.74709E-11
LOC_Os05g11428,1.14158,0.0259886
LOC_Os05g26840,3.15193,0.0314792
LOC_Os05g29810,2.73497,0.000120167
LOC_Os05g32544,1.10749,0.0465458
LOC_Os05g33080,1.17388,0.0238109
LOC_Os05g34150,2.10918,2.18376E-05
LOC_Os05g35240,1.43395,0.0143158
LOC_Os05g35380,1.23472,0.0132936
LOC_Os05g38000,1.54917,0.0198941
LOC_Os05g38660,1.27029,0.0293989
LOC_Os05g39870,1.06846,0.0337487
LOC_Os05g42150,2.27191,0.00421148
LOC_Os05g45020,1.61873,0.00445911
LOC_Os05g45430,4.54303,8.96363E-05
LOC_Os05g48060,1.43816,0.0174747
LOC_Os05g50190,1.20398,0.0183402
LOC_Os05g50270,3.01017,0.00187365
LOC_Os05g50470,3.07483,0.0175363
LOC_Os05g50510,1.07729,0.0330093
LOC_Os06g06080,1.53908,0.0228449
LOC_Os06g09390,1.27213,0.0309974
LOC_Os06g10130,1.32335,0.0145131
LOC_Os06g10310,2.19927,2.13215E-05
LOC_Os06g14420,1.68036,0.00226028
LOC_Os06g14540,1.07343,0.0346362
LOC_Os06g22050,1.39035,0.0153899
LOC_Os06g22870,1.21572,0.040986
LOC_Os06g23650,3.16876,0.0246795
LOC_Os06g34020,1.68967,0.00754087
LOC_Os06g35960,1.60915,0.00460378
LOC_Os06g39880,4.48069,6.40382E-05
LOC_Os06g42630,3.69679,3.78284E-06
LOC_Os06g42660,3.34556,0.0112698
LOC_Os06g43090,1.0289,0.0453569
LOC_Os06g44140,1.29166,0.0126267
LOC_Os06g46030,2.73798,2.42275E-08
LOC_Os06g46950,1.83459,0.00847148
LOC_Os06g48720,1.92227,0.0237127
LOC_Os07g04670,7.63594,0.00139679
LOC_Os07g04690,1.05025,0.0444516
LOC_Os07g07900,2.56812,4.79917E-06
LOC_Os07g12230,1.44841,0.0338406
LOC_Os07g12340,1.50645,0.0155377
LOC_Os07g30020,1.29265,0.0122085
LOC_Os07g35750,1.88693,0.0033939
LOC_Os07g39920,1.34335,0.00951587
LOC_Os07g42924,3.2472,0.0307243
LOC_Os07g43170,1.11562,0.0384245
LOC_Os07g43580,1.37124,0.0108686
LOC_Os07g44040,1.72963,0.000531678
LOC_Os07g44890,2.0098,0.0354312
LOC_Os07g49210,1.10268,0.0284183
LOC_Os08g02070,2.19942,0.000795367
LOC_Os08g17160,2.06437,4.74849E-05
LOC_Os08g17870,1.01637,0.0474213
LOC_Os08g30520,2.35677,0.000101354
LOC_Os08g31580,0.982118,0.0463554
LOC_Os08g32080,1.00119,0.0456588
LOC_Os08g34010,2.31085,0.000053156
LOC_Os08g34510,1.38126,0.0132951
LOC_Os08g37840,1.57549,0.00263427
LOC_Os08g39330,1.78176,0.000304993
LOC_Os08g40280,1.65802,0.0140454
LOC_Os08g43730,1.10972,0.031953
LOC_Os08g44050,1.26269,0.0233644
LOC_Os09g01650,1.38135,0.0051545
LOC_Os09g13680,1.38903,0.014432
LOC_Os09g15700,3.20563,0.00091553
LOC_Os09g20930,1.04439,0.0391871
LOC_Os09g26370,3.56451,0.0288936
LOC_Os09g28390,1.54914,0.0258941
LOC_Os09g28600,2.54563,0.0158966
LOC_Os09g28850,1.55305,0.0141143
LOC_Os09g31370,1.17153,0.0286698
LOC_Os09g31438,1.70376,0.000918497
LOC_Os09g32010,1.70282,0.00571362
LOC_Os09g32670,1.75123,0.00128605
LOC_Os09g33580,1.71381,0.000884949
LOC_Os09g34920,2.3548,1.99917E-05
LOC_Os09g35730,1.25169,0.0154766
LOC_Os09g36910,1.94767,9.46396E-05
LOC_Os09g38110,1.696,0.0354721
LOC_Os10g07290,1.07686,0.033724
LOC_Os10g25010,2.37384,0.00939257
LOC_Os10g28210,1.34218,0.0294
LOC_Os10g30070,2.40179,0.0142164
LOC_Os10g30560,3.57335,0.0108122
LOC_Os10g32680,1.29306,0.0267067
LOC_Os10g33520,1.19383,0.028002
LOC_Os10g33780,1.24627,0.0120054
LOC_Os10g36420,1.84096,0.000534309
LOC_Os10g37230,0.995002,0.0472964
LOC_Os10g37290,1.36053,0.00829866
LOC_Os10g38080,1.07917,0.0304816
LOC_Os10g38940,1.85231,0.000201648
LOC_Os10g39660,2.16584,0.00169442
LOC_Os10g40390,1.33494,0.0217882
LOC_Os10g40570,1.2868,0.0143394
LOC_Os10g40614,1.34833,0.00750987
LOC_Os10g42850,3.71897,0.0471524
LOC_Os11g03160,0.996553,0.0490652
LOC_Os11g04710,1.24611,0.0239073
LOC_Os11g05050,1.09224,0.0392782
LOC_Os11g05190,2.08322,4.52965E-05
LOC_Os11g10100,1.07601,0.046522
LOC_Os11g22960,2.14672,1.82627E-05
LOC_Os11g23770,2.43046,0.0168828
LOC_Os11g29350,1.94529,0.00186376
LOC_Os11g30430,1.43402,0.00870899
LOC_Os11g34020,2.20597,0.00180636
LOC_Os11g35050,1.31132,0.0152186
LOC_Os11g43750,1.32661,0.00850928
LOC_Os11g43760,2.74839,0.00431321
LOC_Os12g02290,1.2885,0.0108158
LOC_Os12g04410,1.19834,0.0295434
LOC_Os12g06290,2.47765,0.00116227
LOC_Os12g06464,1.50926,0.00329484
LOC_Os12g06520,0.98393,0.0497703
LOC_Os12g10320,2.43513,0.000186195
LOC_Os12g13300,1.77926,0.00430052
LOC_Os12g14220,1.24655,0.0117757
LOC_Os12g26290,2.90494,0.0491673
LOC_Os12g27335,1.74841,0.0055626
LOC_Os12g30040,1.2194,0.0149799
LOC_Os12g31748,4.04185,0.0429027
LOC_Os12g36640,1.84348,0.000343188
LOC_Os12g36660,7.50719,3.53433E-11
LOC_Os12g38150,1.67188,0.000810028
LOC_Os12g38400,2.2024,0.000013853
LOC_Os12g38440,1.19678,0.025937
LOC_Os12g41180,1.04405,0.0421813
LOC_Os12g41956,1.04979,0.0401949
LOC_Os12g42250,1.14084,0.0219778
LOC_Os12g42610,1.48263,0.00254257
LOC_Os01g01190,1.58703,0.00261824
LOC_Os01g02910,1.56291,0.0132454
LOC_Os01g03180,1.61381,0.00239784
LOC_Os01g03490,1.1753,0.032075
LOC_Os01g03570,1.4817,0.00325031
LOC_Os01g03720,7.66787,0.00133357
LOC_Os01g03750,1.56796,0.00503098
LOC_Os01g04080,3.03764,0.0262866
LOC_Os01g04100,1.32136,0.0418252
LOC_Os01g06580,1.32236,0.0265496
LOC_Os01g08440,3.15747,0.00110473
LOC_Os01g09030,1.07895,0.0327779
LOC_Os01g09770,1.18286,0.0300407
LOC_Os01g11040,1.16259,0.0455045
LOC_Os01g11880,1.15078,0.0331752
LOC_Os01g12910,1.60431,0.0492583
LOC_Os01g13120,3.28086,1.29058E-09
LOC_Os01g13170,1.09286,0.0314724
LOC_Os01g13210,1.22981,0.0244999
LOC_Os01g15000,3.16264,2.79409E-05
LOC_Os01g15320,1.6318,0.0350215
LOC_Os01g16030,1.20975,0.0340103
LOC_Os01g16140,2.06155,0.0303837
LOC_Os01g18240,1.49862,0.0101026
LOC_Os01g18630,1.10001,0.0403623
LOC_Os01g20780,1.45008,0.00391548
LOC_Os01g21170,1.30457,0.0420107
LOC_Os01g21970,2.26191,0.00691867
LOC_Os01g23705,2.73598,0.0348445
LOC_Os01g25170,1.33063,0.020821
LOC_Os01g28730,1.1348,0.0338597
