,log2FC,padj
LOC_Os05g41250,3.526258314,0.034780972
LOC_Os01g49750,3.492921304,0.000465256
LOC_Os09g27350,3.46279256,0.034780972
LOC_Os09g34920,3.436276771,0.001776932
LOC_Os02g21310,3.396405889,0.045799632
LOC_Os01g44960,3.326816416,0.045799632
LOC_Os01g73980,3.326816416,0.045799632
LOC_Os04g55130,3.326816416,0.045799632
LOC_Os04g57940,3.326816416,0.045799632
LOC_Os06g32470,3.326816416,0.045799632
LOC_Os07g10850,3.259714442,0.000528189
LOC_Os02g30714,3.221871417,0.001075433
LOC_Os10g29400,3.172226435,0.022314819
LOC_Os06g12370,3.125547365,0.008030972
LOC_Os06g05230,3.085383797,0.027322057
LOC_Os01g35330,3.050658006,0.000717865
LOC_Os03g10290,3.039920106,0.033664757
LOC_Os12g32390,3.008638643,0.011706775
LOC_Os11g44750,2.987066454,0.00103927
LOC_Os03g38470,2.944454848,0.041756881
LOC_Os04g18650,2.935116805,0.034780972
LOC_Os02g54900,2.914583761,0.002206715
LOC_Os07g48910,2.900034003,0.011327543
LOC_Os07g15980,2.894243818,0.041756881
LOC_Os07g01904,2.869667925,0.001476624
LOC_Os02g22820,2.866445778,0.001768244
LOC_Os06g39390,2.827207318,0.020057392
LOC_Os05g38290,2.819251871,0.002375187
LOC_Os10g34290,2.781776116,0.005949722
LOC_Os11g34570,2.776819725,0.03224147
LOC_Os11g43520,2.76724931,0.016035504
LOC_Os05g50850,2.74864699,0.005097119
LOC_Os09g08730,2.748333507,0.00558375
LOC_Os05g20440,2.738585748,0.03224147
LOC_Os05g49730,2.725393679,0.014967264
LOC_Os08g28010,2.718107327,0.004484291
LOC_Os11g26010,2.705874508,0.005384523
LOC_Os11g42550,2.679388803,0.003271756
LOC_Os10g41838,2.651177807,0.030962986
LOC_Os12g12190,2.643208203,0.018523963
LOC_Os04g48150,2.622567712,0.017104955
LOC_Os03g04760,2.617400209,0.046195495
LOC_Os11g18570,2.60016085,0.004875481
LOC_Os10g29390,2.591375648,0.008245364
LOC_Os05g11820,2.568749152,0.0262636
LOC_Os11g41410,2.554270707,0.011639558
LOC_Os03g13210,2.541900312,0.029884417
LOC_Os01g45914,2.536935352,0.005157632
LOC_Os04g17660,2.535796901,0.005954328
LOC_Os10g28350,2.529992616,0.011101378
LOC_Os03g44250,2.527287509,0.020808432
LOC_Os03g01012,2.520752006,0.009835439
LOC_Os04g19260,2.517472272,0.013991958
