,log2FC,padj
LOC_Os02g41780,4.672425342,1.17021E-07
LOC_Os01g67090,4.665335917,1.05721E-50
LOC_Os04g43290,4.651051691,2.25858E-07
LOC_Os11g38010,4.639575192,7.82574E-26
LOC_Os05g36210,4.626533341,4.84282E-14
LOC_Os10g02100,4.604862058,1.61172E-06
LOC_Os01g48740,4.584962501,8.38276E-07
LOC_Os08g38170,4.567684509,2.63782E-41
LOC_Os02g21890,4.562936194,8.38276E-07
LOC_Os04g01140,4.554588852,1.9915E-271
LOC_Os01g71810,4.540568381,1.61172E-06
LOC_Os01g01760,4.494764692,4.70256E-12
LOC_Os07g10440,4.455125063,2.95074E-17
LOC_Os02g30714,4.452858965,3.09422E-06
LOC_Os03g21040,4.437855147,3.4091E-249
LOC_Os10g35040,4.416164165,1.08103E-16
LOC_Os02g19640,4.392317423,5.93084E-06
LOC_Os03g60340,4.376812002,7.53728E-65
LOC_Os01g65510,4.36923381,5.93084E-06
LOC_Os04g13140,4.366782331,6.31502E-11
LOC_Os11g04030,4.348080383,3.09478E-30
LOC_Os06g07040,4.343954401,1.13482E-05
LOC_Os06g49760,4.341036918,5.93084E-06
LOC_Os04g43090,4.338479271,6.31502E-11
LOC_Os02g33550,4.282399731,9.9706E-15
LOC_Os03g24760,4.280107919,2.16728E-05
LOC_Os05g35340,4.271596419,2.30118E-10
LOC_Os10g36170,4.2447561,1.9351E-122
LOC_Os04g43560,4.193771743,2.16728E-05
LOC_Os01g64949,4.181663838,2.16728E-05
LOC_Os05g43860,4.163498732,1.12241E-17
LOC_Os01g09880,4.158001834,2.46916E-13
LOC_Os06g35165,4.138379287,2.13034E-49
LOC_Os02g34430,4.137503524,4.13056E-05
LOC_Os07g13780,4.126335733,4.13056E-05
LOC_Os10g35160,4.121015401,3.01598E-09
LOC_Os12g40890,4.115477217,5.72102E-09
LOC_Os10g38540,4.112209504,4.67958E-13
LOC_Os05g14590,4.108524457,7.85442E-05
LOC_Os07g13770,4.101849254,9.80108E-67
LOC_Os04g28990,4.075843758,5.72102E-09
LOC_Os04g33450,4.075814224,4.8802E-107
LOC_Os12g28770,4.062284278,2.05014E-08
LOC_Os08g41130,4.041820176,1.44014E-15
LOC_Os01g65440,4.034269902,7.85442E-05
LOC_Os01g37350,4.029747343,7.85442E-05
LOC_Os03g22620,4.020348645,6.06454E-26
LOC_Os06g16640,4.017753869,1.0501E-44
LOC_Os01g53240,4.010569242,1.70943E-26
LOC_Os06g14870,4,2.05014E-08
LOC_Os09g34920,4,0.000148982
LOC_Os02g16030,3.994170921,1.12771E-11
LOC_Os04g32810,3.989352756,2.05014E-08
LOC_Os07g02120,3.982993575,3.87242E-08
LOC_Os01g41710,3.962927061,0
LOC_Os05g07060,3.942514505,7.30286E-08
LOC_Os10g25850,3.934904972,0.000148982
LOC_Os09g30486,3.931500063,3.99718E-11
LOC_Os04g37500,3.896730729,7.51212E-11
LOC_Os06g10170,3.884522783,1.37492E-07
LOC_Os03g16610,3.880418384,1.37492E-07
LOC_Os11g41780,3.872418378,2.05466E-38
LOC_Os06g49350,3.87036472,9.7253E-16
LOC_Os09g32540,3.79255792,1.69515E-06
LOC_Os10g33370,3.79255792,2.584E-07
LOC_Os03g30250,3.778643625,6.61546E-19
LOC_Os06g01960,3.771731012,4.84716E-07
LOC_Os10g02040,3.760392084,2.8554E-195
LOC_Os12g40810,3.754887502,0.00012501
LOC_Os01g62200,3.751026339,8.06146E-38
LOC_Os04g56430,3.742448867,3.6069E-100
LOC_Os10g36580,3.728762085,4.84716E-07
LOC_Os05g36240,3.707819249,3.15944E-06
