,log2FoldChange,padj
LOC_Os01g01060,1.7065511311342458,1.2320631817263302e-9
LOC_Os01g01120,0.8515586173113011,0.003746242364616958
LOC_Os01g01160,-0.5040548422236029,0.034235639211176117
LOC_Os01g01302,0.7837863614547729,1.6872016071969243e-4
LOC_Os01g01340,-1.2402499253754775,9.290635465936006e-7
LOC_Os01g01510,0.7700505292130267,0.003713589664592539
LOC_Os01g01670,1.021742241493086,0.02906422184347775
LOC_Os01g01790,0.5825025110626897,6.148311415464453e-4
LOC_Os01g01840,-1.6810534410032254,0.006966295623643358
LOC_Os01g02080,1.9134327435221437,3.0810259586146115e-7
LOC_Os01g02170,1.3698830592365938,0.003008812691116079
LOC_Os01g02200,-0.6303770538226807,0.010501546369499142
LOC_Os01g02290,-4.574950232061135,0.03586920792358197
LOC_Os01g02550,-2.027024100024539,0.03826457944799093
LOC_Os01g02560,-2.354566197838786,0.005879993731029497
LOC_Os01g02700,-0.9531394177365772,0.00320712218056947
LOC_Os01g02710,-1.1973434458821481,1.0254360858886972e-5
LOC_Os01g02780,-1.7973315808449892,1.0299928235269411e-5
LOC_Os01g02900,-0.8375149780019262,0.00661395650471668
LOC_Os01g03070,0.7663034657340341,3.413074696970762e-5
LOC_Os01g03310,0.6843428771571746,0.0384792626498414
LOC_Os01g03330,-3.662113208047659,0.008028433710978231
LOC_Os01g03660,1.0107417752945729,0.038318720339510455
LOC_Os01g03680,-2.752227368579723,9.483097751511218e-4
LOC_Os01g03690,-0.8550133430422958,0.030988887764339276
LOC_Os01g03914,-0.5514649593436834,0.026606931692860634
LOC_Os01g03940,0.6697738264222065,0.01686537423827335
LOC_Os01g03950,1.506243295944734,0.001038136621995492
LOC_Os01g03980,1.2384178789001639,0.017942511440552904
LOC_Os01g04020,0.4628871542352108,0.007829474659909748
LOC_Os01g04050,-6.491981702637311,4.427538655362485e-12
LOC_Os01g04130,0.7825881439135679,0.0345296521798581
LOC_Os01g04260,0.7325382112978629,0.04339061144397466
LOC_Os01g04350,-0.5688481767348802,0.027269996845135876
LOC_Os01g04670,-2.1668616753710292,9.77694299492165e-4
LOC_Os01g04730,0.8777533639834216,0.001010474703207402
LOC_Os01g04860,0.5377929787007719,0.02894991986719624
LOC_Os01g04950,-1.3202624572796209,8.905364770321136e-12
LOC_Os01g04990,0.8612974195191871,0.0161651748610989
LOC_Os01g05060,1.3082776416201183,1.078755592293037e-6
LOC_Os01g05080,1.8687640022706524,4.18604998512055e-19
LOC_Os01g05490,0.5157880049048902,0.006381683537189013
LOC_Os01g05630,-0.7501120536168863,0.04781150561261738
LOC_Os01g05650,0.6658075312424175,1.551538794614141e-4
LOC_Os01g05800,0.5536780237054837,0.005222442858286759
LOC_Os01g05970,-0.6536436294960373,0.04382633116677842
LOC_Os01g06020,0.5912457410140062,0.008470827316627141
LOC_Os01g06310,-3.2371799470685625,1.3102271028876975e-22
LOC_Os01g06500,1.0617514187933785,0.015624496078635293
LOC_Os01g06600,-0.6676299852567077,0.00996780631647654
LOC_Os01g06640,-1.5161990029326868,0.0022633736838976897
LOC_Os01g06890,-1.8875254505351122,0.003249185897644055
LOC_Os01g07080,0.6423544165484262,0.037996445255473896
LOC_Os01g07280,-1.5800877499064898,2.8507118072165e-5
LOC_Os01g07310,-0.6225848372562967,0.0036723814199479976
LOC_Os01g07390,0.7685856289513717,0.004767338853865352
LOC_Os01g07490,-0.5032642528407218,0.02113564583504623
LOC_Os01g08020,1.0965424750739083,2.6055772893923717e-4
LOC_Os01g08090,-2.1592805955633647,1.1030537801225822e-5
LOC_Os01g08130,2.5426379223567244,0.03530773173378158
LOC_Os01g08280,-0.9383266522632029,4.358176372732014e-5
LOC_Os01g08290,-0.7930453187363689,0.037597300487527796
LOC_Os01g08370,-1.1777648747424982,0.047090631343844135
LOC_Os01g08410,0.5414567694397165,0.007901149069580494
LOC_Os01g08510,1.2114943607229147,6.568676162607763e-4
LOC_Os01g08770,1.2973942741720934,1.518439254500755e-4
LOC_Os01g08780,-1.2008850178450434,0.04631469523767259
LOC_Os01g08850,1.124554086794766,0.00810306268980369
LOC_Os01g08860,1.646504564082292,1.7994933087177814e-8
LOC_Os01g08890,1.2869722626071194,9.246423551162401e-11
LOC_Os01g08930,0.9454109605360759,8.173270901236501e-6
LOC_Os01g09000,-0.4258874220663429,0.048449066226510525
LOC_Os01g09120,0.5073285039378704,0.04155681040383711
LOC_Os01g09190,-2.6559268551593775,2.543479188900517e-5
LOC_Os01g09280,0.9784147770127348,0.014891397722111297
LOC_Os01g09300,0.8535708099617556,5.611708419200076e-4
LOC_Os01g09370,0.7967014933563654,0.045061041394259135
LOC_Os01g09420,-0.6498457116938388,0.037597300487527796
LOC_Os01g09430,0.6432444680039867,7.276308327966908e-4
LOC_Os01g09510,1.6055520150629616,1.6119153405284893e-11
LOC_Os01g09640,-1.6816095389212864,5.024258613118543e-18
LOC_Os01g09750,1.1261019885202348,4.406855100015225e-4
LOC_Os01g09800,-1.0567747594777743,0.004297497221991656
LOC_Os01g09830,1.8494405541481618,6.94573891134035e-5
LOC_Os01g10080,0.5979217673228857,0.04656398862833175
LOC_Os01g10250,-0.4549166521340343,0.04709652618942243
LOC_Os01g10280,0.6010783640294316,0.009452491679798709
LOC_Os01g10450,-0.7100521699431526,0.0424475890780118
LOC_Os01g10610,-0.7499873023618903,0.0029706447444855576
LOC_Os01g10800,0.9379606970008537,0.036107633632603595
LOC_Os01g10820,0.9580602221603202,7.638968878894193e-5
LOC_Os01g10890,-1.014667890383017,0.0017780825508478676
LOC_Os01g11054,1.1073599226943773,1.072246672104053e-12
LOC_Os01g11160,-0.8593568782033707,0.035458986592139426
LOC_Os01g11230,0.5234457777442669,0.023357338192607952
LOC_Os01g11240,0.902799027743314,1.7826084987041842e-6
LOC_Os01g11600,-1.9253956706704514,2.1037811750987347e-4
LOC_Os01g11650,-0.9807893933508587,1.1107855525822468e-6
LOC_Os01g11910,-1.584952614586831,2.6508321738042285e-4
LOC_Os01g12130,-0.8859820519620776,0.016532246571101573
LOC_Os01g12190,0.686282482244821,0.006628696294317108
LOC_Os01g12210,-1.4904435665155285,1.4907926310908585e-10
LOC_Os01g12220,1.4386735341081938,2.8261171466687775e-5
LOC_Os01g12270,-1.5499319166956076,4.919480447636008e-5
LOC_Os01g12280,-0.7864915930196167,0.04794685679417382
LOC_Os01g12440,3.4418253953519606,0.01307174273137088
LOC_Os01g12480,0.676524495401939,0.03164321963504407
LOC_Os01g12490,-2.3162139318713884,0.0075917567890325015
LOC_Os01g12520,-4.102996288303676,6.544844903489037e-5
