,log2FC,padj
LOC_Os02g36280,3.069788287,0.001605689
LOC_Os01g71090,3.068559457,0.003633928
LOC_Os01g02940,3.067141341,0.010453099
LOC_Os12g04150,3.067141341,0.010453099
LOC_Os06g11210,3.054438689,0.002101185
LOC_Os01g49750,3.034022034,0.00180109
LOC_Os03g04700,3.021297849,0.026706022
LOC_Os04g19800,3.021297849,0.026706022
LOC_Os04g50940,3.021297849,0.026706022
LOC_Os07g05420,3.021297849,0.026706022
LOC_Os11g47610,3.007522394,0.015150304
LOC_Os03g09910,2.975779996,0.001530786
LOC_Os08g31250,2.96800058,0.010299849
LOC_Os01g63690,2.95982857,0.001026436
LOC_Os09g20220,2.945763714,0.005623714
LOC_Os10g23310,2.943799306,0.001106608
LOC_Os06g35700,2.939540858,0.011706775
LOC_Os06g48180,2.939540858,0.011706775
LOC_Os04g34490,2.930271516,0.014149938
LOC_Os01g46440,2.923697705,0.022910824
LOC_Os04g58080,2.914992936,0.022314819
LOC_Os03g19427,2.885055904,0.034780972
LOC_Os04g52810,2.885055904,0.034780972
LOC_Os11g06960,2.884333852,0.00164132
LOC_Os11g32060,2.866403206,0.022314819
LOC_Os04g52440,2.847720264,0.002498216
LOC_Os08g37660,2.81092869,0.004632215
LOC_Os08g02230,2.802137152,0.004711457
LOC_Os08g26350,2.801976573,0.007458047
LOC_Os07g03710,2.793698829,0.004854398
LOC_Os01g71890,2.779042566,0.022910824
LOC_Os01g24710,2.76234269,0.001869463
LOC_Os06g13940,2.745092586,0.003073054
LOC_Os01g01400,2.734593244,0.045799632
LOC_Os01g18120,2.734593244,0.045799632
LOC_Os02g15280,2.734593244,0.045799632
LOC_Os04g24130,2.734593244,0.045799632
LOC_Os07g12240,2.734593244,0.045799632
LOC_Os02g02210,2.728502577,0.01012814
LOC_Os05g18419,2.709968625,0.033664757
LOC_Os05g49840,2.689064693,0.02310992
LOC_Os03g11420,2.686125687,0.017459041
LOC_Os10g28350,2.679753436,0.011327543
LOC_Os09g28210,2.666800196,0.003566408
LOC_Os01g65760,2.66091758,0.004191732
LOC_Os05g47750,2.638744738,0.007626368
LOC_Os02g37480,2.6385983,0.002877612
LOC_Os11g47520,2.619007268,0.026707832
LOC_Os09g39930,2.610084659,0.03224147
LOC_Os06g20960,2.603394687,0.014252316
LOC_Os10g27200,2.595382296,0.041756881
LOC_Os10g36070,2.589934009,0.00935214
LOC_Os11g02750,2.586440717,0.006449528
LOC_Os04g47890,2.582275398,0.018523963
LOC_Os09g10650,2.581882849,0.009266069
LOC_Os04g52890,2.567859015,0.004417557
LOC_Os04g41620,2.553269722,0.003984974
LOC_Os04g58960,2.542381692,0.012941629
LOC_Os01g04580,2.538243277,0.004286763
LOC_Os12g38051,2.523889471,0.007135041
LOC_Os07g03730,2.519867875,0.009118805
LOC_Os05g13970,2.51943758,0.011397017
LOC_Os03g03540,2.517555201,0.046195495
LOC_Os06g01760,2.511300296,0.006373564
LOC_Os01g60690,2.507097495,0.036013059
LOC_Os12g43450,2.50399416,0.004942386
LOC_Os06g11200,2.502467206,0.007827865
LOC_Os04g47360,2.501558796,0.011397017
LOC_Os07g39860,2.501558796,0.011397017
LOC_Os10g07210,2.499995962,0.034088492
LOC_Os01g01430,2.497874168,0.009611529
LOC_Os01g20780,2.490968835,0.018523963
LOC_Os06g44040,2.46896547,0.046195495
LOC_Os10g23900,2.46896547,0.046195495
LOC_Os09g35030,2.468169177,0.006017586
LOC_Os01g64570,2.467778318,0.042028125
LOC_Os01g03360,2.464838881,0.00510631
LOC_Os08g41290,2.455639801,0.009909805
LOC_Os01g71840,2.444939429,0.020903485
LOC_Os06g17450,2.433183562,0.038983062
LOC_Os03g05650,2.385771342,0.049219036
LOC_Os03g45960,2.379769917,0.007855884
LOC_Os03g14180,2.374551228,0.007104584
LOC_Os11g31540,2.365733332,0.008344246
LOC_Os03g22634,2.359531423,0.012614382
LOC_Os04g18400,2.354260009,0.034088492
LOC_Os01g04430,2.353544825,0.046195495
LOC_Os07g09190,2.349943764,0.017478245
LOC_Os07g35560,2.34724102,0.009682379
LOC_Os10g06630,2.345056284,0.009854742
LOC_Os03g05880,2.339174614,0.010729169
LOC_Os01g27230,2.315512525,0.009767154
LOC_Os02g39360,2.312197321,0.009793389
LOC_Os07g02620,2.306073711,0.028984011
LOC_Os02g12680,2.302067308,0.017060924
LOC_Os03g10478,2.299135829,0.021003933
LOC_Os01g72620,2.286431263,0.013926132
LOC_Os05g34950,2.285863572,0.044697393
LOC_Os01g58320,2.275615004,0.010969042
LOC_Os09g20330,2.268034174,0.016874492
LOC_Os01g47290,2.251632521,0.011479497
LOC_Os05g04000,2.237229903,0.01352766
LOC_Os01g70490,2.232746836,0.020040916
LOC_Os03g57900,2.224567649,0.011066014
LOC_Os06g51050,2.22343678,0.011380567
LOC_Os09g10660,2.223211961,0.036844159
LOC_Os12g09320,2.219735715,0.022198381
LOC_Os05g48840,2.215922426,0.038983062
LOC_Os07g03740,2.215922426,0.038983062
LOC_Os06g11290,2.205131974,0.01148373
LOC_Os11g06980,2.193419195,0.028191532
LOC_Os01g71680,2.188702823,0.041376294
LOC_Os12g36430,2.153157897,0.017027141
LOC_Os08g01480,2.149734331,0.027666888
LOC_Os07g48870,2.147626373,0.016525594
LOC_Os01g72270,2.147434991,0.013531909
LOC_Os04g08350,2.146418221,0.014300554
LOC_Os01g51570,2.142978112,0.025494123
LOC_Os01g58350,2.131828489,0.033908436
LOC_Os12g43390,2.113751753,0.021707509
LOC_Os10g36100,2.109369466,0.016194931
LOC_Os07g40986,2.100884037,0.035233806
LOC_Os09g29310,2.094126566,0.016270225
LOC_Os01g66530,2.085704134,0.021501131
LOC_Os04g51040,2.08566091,0.043643943
LOC_Os05g07170,2.084063733,0.038287949
LOC_Os12g43410,2.080013642,0.023609919
LOC_Os01g02930,2.074355064,0.022404327
LOC_Os02g06580,2.071278148,0.029677854
LOC_Os09g29130,2.071159464,0.031547384
LOC_Os01g73024,2.058155656,0.033908436
LOC_Os05g36230,2.056622155,0.038568237
LOC_Os01g28500,2.042564955,0.025149642
LOC_Os03g58320,2.029748146,0.043643943
LOC_Os01g04450,2.024123321,0.026548922
LOC_Os11g47600,2.018401325,0.019892723
LOC_Os12g24320,2.017711935,0.035521524
LOC_Os08g03400,2.015520906,0.036710999
LOC_Os08g27170,2.014915468,0.038287949
LOC_Os01g61070,2.01340234,0.029727825
LOC_Os02g02780,2.011783499,0.03881103
LOC_Os03g42810,2.011696618,0.028037998
LOC_Os04g55800,1.992520681,0.026548922
LOC_Os08g05780,1.989213546,0.026746068
LOC_Os04g38026,1.988481854,0.044985511
