,log2FC,padj
LOC_Os01g39110,–1.29449,0.00005
LOC_Os01g39310,2.1926,0.00005
LOC_Os01g39830,1.15559,0.00005
LOC_Os01g39860,2.80054,0.00005
LOC_Os01g39960,1.03543,0.00005
LOC_Os01g40070,3.71134,0.00005
LOC_Os01g40094,2.58543,0.00005
LOC_Os01g40280,1.35205,0.00005
LOC_Os01g40860,1.30864,0.00005
LOC_Os01g41870,–1.65202,0.00005
LOC_Os01g41900,1.87552,0.00005
LOC_Os01g41990,–1.14481,0.00005
LOC_Os01g42140,2.06488,0.00005
LOC_Os01g42190,4.5362,0.00005
LOC_Os01g42294,–1.071,0.00005
LOC_Os01g42520,1.63732,0.00005
LOC_Os01g42730,2.04773,0.00005
LOC_Os01g43480,2.09213,0.00005
LOC_Os01g43580,1.44231,0.00005
LOC_Os01g43844,3.62435,0.00005
LOC_Os01g43870,1.60061,0.00005
LOC_Os01g43895,1.51321,0.00005
LOC_Os01g43910,1.96772,0.00005
LOC_Os01g43950,1.11914,0.00005
LOC_Os01g45274,1.99701,0.00005
LOC_Os01g45290,–1.04926,0.00005
LOC_Os01g45460,3.42653,0.00005
LOC_Os01g45550,1.99804,0.00005
LOC_Os01g45700,3.02916,0.00005
LOC_Os01g45760,–2.08307,0.00005
LOC_Os01g45860,1.83733,0.00005
LOC_Os01g45900,1.47778,0.00005
LOC_Os01g45990,2.18671,0.00005
LOC_Os01g46400,1.1183,0.00005
LOC_Os01g46570,2.11428,0.00005
LOC_Os01g46760,4.51869,0.00005
LOC_Os01g46950,1.05592,0.00005
LOC_Os01g46970,2.79245,0.00005
LOC_Os01g47070,3.0798,0.00005
LOC_Os01g47180,–1.80729,0.00005
LOC_Os01g47262,2.47876,0.00005
LOC_Os01g47400,2.78869,0.00005
LOC_Os01g47460,1.52329,0.00005
LOC_Os01g47540,1.03519,0.00005
LOC_Os01g47560,1.97745,0.00005
LOC_Os01g47700,–1.05636,0.00005
LOC_Os01g47760,5.55859,0.00005
LOC_Os01g48190,1.52562,0.00005
LOC_Os01g48220,1.29693,0.00005
LOC_Os01g48320,1.63569,0.00005
LOC_Os01g48440,1.04545,0.00005
LOC_Os01g48960,2.33057,0.00005
LOC_Os01g49160,1.39924,0.00005
LOC_Os01g49529,1.67794,0.00005
LOC_Os01g49830,3.1878,0.00005
LOC_Os01g50040,1.05789,0.0001
LOC_Os01g50100,1.92589,0.00005
LOC_Os01g50200,–2.11165,0.0001
LOC_Os01g50370,5.74288,0.00005
LOC_Os01g50410,4.36247,0.00005
LOC_Os01g50420,4.51165,0.00005
LOC_Os01g50616,2.89115,0.00005
LOC_Os01g50700,4.19781,0.00005
LOC_Os01g50910,7.48325,0.00005
LOC_Os01g50940,5.7726,0.00005
LOC_Os01g51260,–2.00962,0.0001
LOC_Os01g51310,4.91517,0.00005
LOC_Os01g51320,–1.47734,0.00005
LOC_Os01g51360,1.26058,0.00005
LOC_Os01g51430,2.42964,0.00005
LOC_Os01g51630,1.01592,0.00005
LOC_Os01g51632,1.20539,0.00005
LOC_Os01g51634,1.07261,0.00005
LOC_Os01g51870,2.17028,0.00005
LOC_Os01g51890,2.60958,0.00005
LOC_Os01g51920,2.85705,0.00005
LOC_Os01g52110,1.94797,0.00005
LOC_Os01g52130,1.47735,0.0001
LOC_Os01g52230,1.30068,0.00015
LOC_Os01g52260,2.89703,0.00005
LOC_Os01g52530,1.09908,0.00005
LOC_Os01g52540,1.14093,0.00005
LOC_Os01g52550,1.41418,0.00005
LOC_Os01g52690,3.18348,0.00005
LOC_Os01g52750,–1.41945,0.00005
LOC_Os01g52880,–1.02931,0.00005
LOC_Os01g52920,2.41758,0.00005
LOC_Os01g53070,–1.37213,0.00005
LOC_Os01g53160,–2.01547,0.00005
LOC_Os01g53220,3.78903,0.00005
LOC_Os01g53350,–1.37296,0.00005
LOC_Os01g53730,3.9376,0.00005
LOC_Os01g53990,2.18009,0.00005
LOC_Os01g54340,2.41809,0.00005
LOC_Os01g54350,3.72192,0.00005
LOC_Os01g54560,2.43053,0.00005
LOC_Os01g54570,–1.55478,0.00005
LOC_Os01g54600,1.832,0.00005
LOC_Os01g54670,4.46806,0.00005
LOC_Os01g54990,–1.35887,0.00005
LOC_Os01g55000,–2.49071,0.00005
LOC_Os01g55110,1.74127,0.00005
LOC_Os01g55160,1.83926,0.00005
LOC_Os01g55240,1.99025,0.00005
LOC_Os01g55370,2.33867,0.00005
LOC_Os01g55510,4.53628,0.00005
LOC_Os01g55560,2.07992,0.00005
LOC_Os01g55570,1.11205,0.00005
LOC_Os01g55750,–1.78855,0.00005
LOC_Os01g55820,2.40911,0.00005
LOC_Os01g56180,3.85632,0.00005
LOC_Os01g56200,1.20235,0.00005
LOC_Os01g56300,1.19546,0.00005
LOC_Os01g56560,2.17347,0.00005
LOC_Os01g56790,1.27995,0.00005
LOC_Os01g56810,4.11398,0.00005
LOC_Os01g56890,1.49556,0.00005
LOC_Os01g56940,–1.83934,0.00005
LOC_Os01g57420,3.29273,0.00005
LOC_Os01g57570,1.19038,0.00005
LOC_Os01g57610,1.37346,0.00005
LOC_Os01g57740,2.35816,0.00005
LOC_Os01g57840,2.77183,0.00005
LOC_Os01g58140,2.49576,0.00015
LOC_Os01g58290,1.53029,0.00005
LOC_Os01g58420,2.77948,0.00005
LOC_Os01g58620,1.45601,0.00005
LOC_Os01g58700,1.13116,0.00005
LOC_Os01g58790,1.42245,0.00005
LOC_Os01g58890,2.14892,0.00005
LOC_Os01g58910,–2.14888,0.00005
LOC_Os01g59130,1.0601,0.00005
LOC_Os01g59690,1.67561,0.00005
LOC_Os01g59870,–1.1912,0.00005
LOC_Os01g59970,1.22566,0.00005
LOC_Os01g60020,5.67703,0.00005
LOC_Os01g60190,1.12632,0.00005
LOC_Os01g60309,2.03823,0.00005
LOC_Os01g60600,3.06111,0.00005
LOC_Os01g60670,–1.12216,0.00005
LOC_Os01g60730,5.7827,0.00005
LOC_Os01g60770,2.96323,0.00005
LOC_Os01g60810,–2.03892,0.00005
LOC_Os01g61010,–1.25279,0.00005
LOC_Os01g61190,1.50377,0.00005
LOC_Os01g61330,–2.45283,0.00005
LOC_Os01g61610,1.35536,0.0001
LOC_Os01g61670,1.27279,0.00005
LOC_Os01g61720,–1.07855,0.00005
LOC_Os01g61990,1.66378,0.00005
LOC_Os01g62290,2.26983,0.00005
LOC_Os01g62380,–1.2566,0.00005
LOC_Os01g62660,1.45569,0.00005
LOC_Os01g62760,4.2864,0.00005
LOC_Os01g62780,1.30069,0.00005
LOC_Os01g62810,1.65479,0.00005
LOC_Os01g62900,1.90956,0.00005
LOC_Os01g62950,1.78446,0.00005
LOC_Os01g62990,–1.33888,0.00005
LOC_Os01g63210,–1.77504,0.0001
LOC_Os01g63480,4.25233,0.00005
LOC_Os01g63620,2.83896,0.00005
LOC_Os01g63690,1.98635,0.00005
LOC_Os01g63710,–3.09158,0.00005
LOC_Os01g63930,3.34686,0.00005
LOC_Os01g64110,2.6487,0.00005
LOC_Os01g64180,–2.17032,0.00005
LOC_Os01g64350,1.61424,0.00005
LOC_Os01g64360,8.43763,0.00005
LOC_Os01g64520,1.2903,0.00005
LOC_Os01g64630,2.31625,0.00005
LOC_Os01g64670,2.60868,0.00005
LOC_Os01g64730,3.46395,0.00005
LOC_Os01g64790,5.55166,0.00005
LOC_Os01g64860,–2.55924,0.00005
LOC_Os01g65420,–2.77113,0.00005
LOC_Os01g65440,–1.09662,0.00005
LOC_Os01g65630,–1.88974,0.00005
LOC_Os01g65660,2.84269,0.00005
LOC_Os01g65780,1.79871,0.00005
LOC_Os01g65790,1.45908,0.00005
LOC_Os01g65800,1.11089,0.00005
LOC_Os01g65830,4.10114,0.00005
LOC_Os01g65920,1.42251,0.00005
LOC_Os01g66120,5.37147,0.00005
LOC_Os01g66170,1.03722,0.00005
LOC_Os01g66530,3.46408,0.00005
LOC_Os01g66610,3.25361,0.00005
LOC_Os01g66830,–1.96161,0.00005
LOC_Os01g66890,7.50956,0.00005
LOC_Os01g67110,–1.44237,0.00005
LOC_Os01g67480,2.18783,0.00005
LOC_Os01g67500,1.68934,0.00005
LOC_Os01g67530,–1.09436,0.00005
LOC_Os01g67850,2.15987,0.00005
LOC_Os01g67950,4.47045,0.00005
LOC_Os01g68450,1.73499,0.00015
LOC_Os01g68500,1.0871,0.00005
LOC_Os01g68650,2.6565,0.00005
LOC_Os01g68700,–1.57795,0.00005
LOC_Os01g68900,–3.49079,0.00005
LOC_Os01g68960,3.99224,0.00005
LOC_Os01g69290,–1.79351,0.00005
LOC_Os01g69870,1.38653,0.00005
LOC_Os01g69960,–1.32418,0.00005
LOC_Os01g70080,1.35262,0.00005
LOC_Os01g70470,1.85626,0.00005
LOC_Os01g70560,–1.11458,0.00005
LOC_Os01g70790,1.67259,0.00005
LOC_Os01g70820,1.84433,0.00005
LOC_Os01g70950,1.89725,0.00005
LOC_Os01g70970,–2.52877,0.00005
LOC_Os01g71090,2.09021,0.00005
LOC_Os01g71280,1.13343,0.00005
LOC_Os01g71310,2.56578,0.0001
LOC_Os01g71860,4.04324,0.00005
LOC_Os01g72009,1.69861,0.00005
LOC_Os01g72020,–1.13759,0.00005
LOC_Os01g72100,–1.24809,0.00005
LOC_Os01g72190,1.27522,0.00005
LOC_Os01g72520,3.77841,0.00005
LOC_Os01g72570,1.35828,0.00005
LOC_Os01g72690,1.28964,0.00005
LOC_Os01g73110,2.60664,0.00005
LOC_Os01g73270,–2.0737,0.00005
LOC_Os01g73530,1.48496,0.00005
LOC_Os01g74300,1.51696,0.00005
LOC_Os01g74370,2.04473,0.00005
LOC_Os01g74540,–1.57993,0.00005
LOC_Os02g01140,–2.43127,0.00005
LOC_Os02g01150,–1.51668,0.00005
LOC_Os02g01540,1.22523,0.00005
LOC_Os02g01590,1.07562,0.00005
LOC_Os02g02400,–1.39548,0.00005
LOC_Os02g02860,1.39049,0.00005
LOC_Os02g03030,–3.40027,0.00005
LOC_Os02g03320,1.25775,0.00005
LOC_Os02g03410,1.10168,0.00005
LOC_Os02g03700,–1.04739,0.00005
LOC_Os02g03710,–2.96975,0.00005
LOC_Os02g03740,1.75579,0.00005
LOC_Os02g04420,–1.00558,0.00005
LOC_Os02g04650,1.6794,0.00005
LOC_Os02g04840,1.08473,0.00005
LOC_Os02g05470,–1.16873,0.00005
LOC_Os02g05830,–1.20881,0.00005
LOC_Os02g06640,1.00957,0.00005
LOC_Os02g06910,–1.09637,0.00005
LOC_Os02g06960,–1.44017,0.00005
LOC_Os02g07160,1.22809,0.00005
LOC_Os02g07190,–1.07933,0.00005
LOC_Os02g07680,2.69596,0.00005
LOC_Os02g07840,2.32484,0.00005
LOC_Os02g07930,3.3206,0.00005
LOC_Os02g08070,–2.4404,0.00005
LOC_Os02g08100,2.43688,0.00005
LOC_Os02g08330,1.32106,0.00005
LOC_Os02g08420,1.0738,0.00005
LOC_Os02g08440,8.94419,0.00005
LOC_Os02g08490,1.92334,0.00005
LOC_Os02g09340,1.32442,0.00005
LOC_Os02g09490,2.40113,0.00005
LOC_Os02g09620,–2.05788,0.00005
