,log2FC,padj
LOC_Os01g02050,1.42082,0.0121435
LOC_Os01g03980,1.1798,0.0194532
LOC_Os01g04160,1.12751,0.0244084
LOC_Os01g07620,1.81546,0.00826724
LOC_Os01g07940,1.53116,0.00178954
LOC_Os01g09220,4.78361,0.0478145
LOC_Os01g09430,1.25777,0.0113441
LOC_Os01g10580,1.46961,0.00822578
LOC_Os01g12420,1.48282,0.00493251
LOC_Os01g12690,1.67114,0.00447925
LOC_Os01g12900,1.19614,0.0308563
LOC_Os01g19480,2.91474,1.67681E-09
LOC_Os01g24480,1.4472,0.00346597
LOC_Os01g38530,1.75392,0.00478539
LOC_Os01g41010,1.15877,0.0254232
LOC_Os01g47600,1.00891,0.0448691
LOC_Os01g52750,1.39658,0.0369549
LOC_Os01g52780,1.05418,0.039134
LOC_Os01g53160,1.9585,0.00872356
LOC_Os01g54990,1.18337,0.0189195
LOC_Os01g59180,1.03199,0.042596
LOC_Os01g60770,2.14507,0.00261706
LOC_Os01g62900,1.91477,0.00120155
LOC_Os01g63500,1.72537,0.0045032
LOC_Os01g65920,1.31822,0.0100275
LOC_Os01g66030,1.75746,0.0299774
LOC_Os01g66120,1.6316,0.00097103
LOC_Os01g66490,1.26891,0.013305
LOC_Os01g67480,1.31263,0.0131349
LOC_Os01g71930,1.334,0.00841556
LOC_Os02g07030,4.00056,1.07939E-05
LOC_Os02g07040,1.80343,0.00065309
LOC_Os02g11020,1.72909,0.00222046
LOC_Os02g13900,0.985441,0.0471856
LOC_Os02g15640,1.44773,0.0032407
LOC_Os02g18150,1.3557,0.0207524
LOC_Os02g27000,3.04316,1.16717E-10
LOC_Os02g30080,1.01613,0.0424373
LOC_Os02g34600,1.12806,0.0264527
LOC_Os02g41460,1.27608,0.00977046
LOC_Os02g42740,1.25744,0.0200468
LOC_Os02g45225,4.24722,0.00912959
LOC_Os02g46473,1.24488,0.02696
LOC_Os02g46940,1.10319,0.0423084
LOC_Os02g56490,1.27606,0.00827233
LOC_Os03g01750,1.28663,0.0492267
LOC_Os03g04710,1.15574,0.0177927
LOC_Os03g07120,1.99633,0.00314776
LOC_Os03g08960,1.19945,0.0136878
LOC_Os03g09070,1.20046,0.0131564
LOC_Os03g10090,1.47057,0.00628412
LOC_Os03g14950,1.43965,0.0159736
LOC_Os03g16060,1.31,0.0306323
LOC_Os03g16460,1.22905,0.0160141
LOC_Os03g22050,1.57081,0.00937338
LOC_Os03g46930,3.37839,0.00209934
LOC_Os03g51650,1.45886,0.00452228
LOC_Os03g52320,1.19166,0.0375924
LOC_Os03g55180,1.54759,0.00270973
LOC_Os03g59225,1.38393,0.0225323
LOC_Os03g60080,1.0871,0.0340564
LOC_Os03g62500,1.13671,0.0268921
LOC_Os03g64070,1.6595,0.00394624
LOC_Os04g09720,2.7589,1.95265E-08
LOC_Os04g32130,1.81083,0.000548487
LOC_Os04g36040,3.15023,0.0330274
LOC_Os04g36054,1.03426,0.0483688
LOC_Os04g36670,1.2872,0.0262574
LOC_Os04g40040,1.21016,0.021972
LOC_Os04g40090,1.04923,0.0389556
LOC_Os04g42620,1.55992,0.00118291
LOC_Os04g45330,1.1356,0.0215478
LOC_Os04g46220,1.18715,0.0306868
LOC_Os04g46580,1.45721,0.0261686
LOC_Os04g49370,1.43113,0.0152146
LOC_Os04g49560,1.06583,0.0371247
LOC_Os04g52670,3.14391,0.000766571
LOC_Os04g54930,1.04679,0.0417775
LOC_Os04g54940,1.0013,0.0415532
LOC_Os04g59190,1.65143,0.000898294
LOC_Os05g02130,1.39673,0.00839274
LOC_Os05g03440,1.34558,0.00799378
LOC_Os05g05820,1.44308,0.00738579
LOC_Os05g11210,3.24601,1.28783E-05
LOC_Os05g14240,1.92247,0.000651626
LOC_Os05g28740,2.27038,0.000381303
LOC_Os05g29810,1.94065,0.00692188
LOC_Os05g33644,1.33045,0.00669879
LOC_Os05g34150,1.03054,0.0369857
LOC_Os05g35110,1.096,0.0281209
LOC_Os05g35240,1.26491,0.029781
LOC_Os05g35500,2.29652,0.00381489
LOC_Os05g37520,1.10838,0.0230333
LOC_Os05g38120,1.09951,0.0279168
LOC_Os05g38660,1.43509,0.0119823
LOC_Os05g39870,1.00418,0.0419792
LOC_Os05g41220,1.17554,0.0270653
LOC_Os05g41540,1.23161,0.0207423
LOC_Os05g41760,1.44014,0.00643849
LOC_Os05g42150,2.36001,0.00275058
LOC_Os05g45020,2.1046,0.000141587
LOC_Os05g50190,1.03689,0.0391733
LOC_Os05g50470,2.85509,0.0279277
LOC_Os06g09390,1.36231,0.019432
LOC_Os06g10130,1.22539,0.0218823
LOC_Os06g14420,1.63343,0.00260883
LOC_Os06g14540,1.05337,0.0344943
LOC_Os06g29180,1.26084,0.0168879
LOC_Os06g33880,1.4872,0.00447032
LOC_Os06g39880,4.71799,2.27888E-05
LOC_Os06g40440,1.11447,0.0258854
LOC_Os06g43930,1.28464,0.0126175
LOC_Os06g46030,2.40395,6.56062E-07
LOC_Os06g47620,1.22417,0.0141241
LOC_Os06g50080,2.12461,0.043845
LOC_Os06g50930,1.28988,0.0417069
LOC_Os07g03120,1.13032,0.0225928
LOC_Os07g07646,0.993137,0.046375
LOC_Os07g07900,1.48036,0.0112829
LOC_Os07g34598,1.08081,0.0363525
LOC_Os08g17160,0.998436,0.0467335
LOC_Os08g30520,2.0385,0.000734161
LOC_Os08g33810,1.32929,0.0101571
LOC_Os08g43190,1.59678,0.0120759
LOC_Os08g43380,1.02119,0.0398145
LOC_Os08g43730,1.11314,0.0289425
LOC_Os08g44050,1.09609,0.0462074
LOC_Os09g04160,1.38942,0.0116458
LOC_Os09g29490,3.09308,0.000377312
LOC_Os09g33580,1.03829,0.0414097
LOC_Os09g34920,1.29857,0.0201094
LOC_Os09g38110,2.46117,0.00173133
LOC_Os10g25010,2.22933,0.0147244
LOC_Os10g31990,1.38692,0.0105571
LOC_Os10g32680,1.41034,0.0138425
LOC_Os10g33780,1.07468,0.0275353
LOC_Os10g38740,3.40958,0.00417648
LOC_Os10g39670,1.07022,0.0299893
LOC_Os11g04710,1.3804,0.0106983
LOC_Os11g06650,1.02467,0.0443111
LOC_Os11g14140,1.15729,0.0231439
LOC_Os11g29350,1.40112,0.0238771
LOC_Os11g34020,1.70244,0.0169166
LOC_Os11g41990,1.06383,0.0399055
LOC_Os12g04480,1.40605,0.00428523
LOC_Os12g27335,1.46782,0.0197271
LOC_Os12g28015,1.30195,0.0114549
LOC_Os12g36660,5.84267,2.70089E-07
LOC_Os12g38400,1.26703,0.0114024
LOC_Os12g42250,1.2634,0.00941483
ChrSy.fgenesh.gene.25,1.30674,0.0338045
LOC_Os01g03180,1.19625,0.023839
LOC_Os01g03570,1.22641,0.0133948
LOC_Os01g03730,2.45901,0.00285935
LOC_Os01g05620,1.39473,0.0111806
LOC_Os01g06550,1.11636,0.029452
LOC_Os01g06600,1.15848,0.0336544
LOC_Os01g08120,1.10995,0.0482958
LOC_Os01g09280,1.29298,0.0290814
LOC_Os01g12660,1.30156,0.00881018
LOC_Os01g13120,2.20476,4.88882E-05
LOC_Os01g15000,1.89591,0.0142208
LOC_Os01g19740,1.61986,0.00386039
LOC_Os01g19820,1.39644,0.0384726
LOC_Os01g21120,1.17807,0.0316173
LOC_Os01g25170,1.75493,0.00170429
LOC_Os01g28810,1.43707,0.00509601
LOC_Os01g29804,1.43797,0.0261549
LOC_Os01g39860,1.16692,0.0292414
LOC_Os01g41750,1.24075,0.0410836
LOC_Os01g46500,1.0143,0.0399847
LOC_Os01g52280,1.06003,0.0446372
LOC_Os01g52880,1.82311,0.0133669
LOC_Os01g53220,1.79769,0.000328339
LOC_Os01g53800,1.32768,0.0380532
LOC_Os01g55170,1.00028,0.0478372
LOC_Os01g55650,1.02642,0.0419182
LOC_Os01g56990,1.15208,0.0266643
LOC_Os01g57490,1.03916,0.0365184
LOC_Os01g58280,1.25925,0.0292937
LOC_Os01g58380,1.10035,0.0374021
LOC_Os01g59080,1.02823,0.0427002
LOC_Os01g60780,1.13515,0.0472183
LOC_Os01g70380,0.992778,0.0489292
LOC_Os01g72950,1.39208,0.0146349
LOC_Os02g05040,1.28873,0.0254341
LOC_Os02g05730,1.08377,0.0331743
