,log2FC,padj
LOC_Os01g29150,1.041503161,5.00E-05
LOC_Os07g02440,1.039156614,0.0045
LOC_Os05g09724,1.03804624,0.0029
LOC_Os11g22449,1.036703451,0.0001
LOC_Os05g11320,1.035730482,5.00E-05
LOC_Os06g29370,1.034055519,0.0058
LOC_Os01g08600,1.024727025,0.0002
LOC_Os05g49350,1.024460317,0.0001
LOC_Os02g17090,1.023909105,5.00E-05
LOC_Os07g35880,1.023280954,5.00E-05
LOC_Os01g27770,1.020862759,0.0001
LOC_Os01g08440,1.016933947,5.00E-05
LOC_Os09g32290,1.011953213,5.00E-05
LOC_Os09g10690,1.011089188,5.00E-05
LOC_Os03g46260,1.010304263,5.00E-05
LOC_Os02g10120,1.009791185,5.00E-05
LOC_Os02g13290,1.009603364,5.00E-05
LOC_Os10g39936,1.007046011,0.01405
LOC_Os09g28630,1.00446226,5.00E-05
LOC_Os01g63410,-0.58518236,5.00E-05
LOC_Os07g38840,-0.585215964,5.00E-05
LOC_Os02g41650,-0.58539916,5.00E-05
LOC_Os03g52720,-0.585728882,0.00335
LOC_Os01g74040,-0.586534486,0.0012
LOC_Os03g24844,-0.587017806,5.00E-05
LOC_Os09g36060,-0.587182042,0.0113
LOC_Os11g12330,-0.587513822,5.00E-05
LOC_Os12g03810,-0.589111219,0.00065
LOC_Os07g32010,-0.590571127,5.00E-05
LOC_Os11g04104,-0.591521434,0.0002
LOC_Os12g01500,-0.592219674,0.00105
LOC_Os03g44380,-0.593280351,0.01625
LOC_Os04g53830,-0.594027025,0.00215
LOC_Os05g41180,-0.595113862,0.0002
LOC_Os01g15000,-0.596004162,5.00E-05
LOC_Os08g26230,-0.596364887,5.00E-05
LOC_Os06g19070,-0.596419951,0.01235
LOC_Os01g49820,-0.596578925,0.00135
LOC_Os01g10340,-0.596724377,0.00815
LOC_Os05g40700,-0.597652319,0.01805
LOC_Os12g42884,-0.598690886,5.00E-05
LOC_Os03g55990,-0.598831908,0.00025
LOC_Os12g36920,-0.59885523,0.00255
LOC_Os08g01410,-0.599403126,0.0002
LOC_Os11g01480,-0.599935527,0.006
LOC_Os02g13640,-0.600445737,0.0007
LOC_Os01g43460,-0.600699256,0.00025
LOC_Os07g48430,-0.601302574,5.00E-05
LOC_Os02g49860,-0.602434419,0.0099
LOC_Os01g02300,-0.602729317,0.002
LOC_Os06g21400,-0.603125075,0.0148
LOC_Os12g43970,-0.603953981,0.0005
LOC_Os11g02620,-0.604072199,0.0224
LOC_Os04g44550,-0.604115537,5.00E-05
LOC_Os01g56990,-0.604466774,0.00195
LOC_Os01g11160,-0.604503422,5.00E-05
LOC_Os07g44890,-0.604844553,5.00E-05
LOC_Os06g10520,-0.604860135,5.00E-05
LOC_Os03g40270,-0.604934528,5.00E-05
LOC_Os07g12810,-0.605113832,0.00165
LOC_Os11g40370,-0.605299918,0.0182
LOC_Os01g56630,-0.605498068,0.02
LOC_Os11g11990,-0.606923446,5.00E-05
LOC_Os10g35294,-0.607126206,0.00105
LOC_Os10g10149,-0.607449621,0.00155
LOC_Os04g37750,-0.607622511,0.0085
LOC_Os01g09384,-0.607646478,0.0092
LOC_Os04g45710,-0.607842337,0.0005
LOC_Os02g39080,-0.60852274,0.00015
LOC_Os01g65520,-0.609224631,5.00E-05
LOC_Os12g36630,-0.610489564,0.00075
LOC_Os05g05060,-0.610585465,0.0042
LOC_Os02g17520,-0.610881792,0.00455
LOC_Os04g49950,-0.611274072,5.00E-05
LOC_Os04g33810,-0.611297162,0.0088
LOC_Os01g59740,-0.611623332,0.00085
LOC_Os02g26404,-0.612507813,0.00025
LOC_Os04g14710,-0.614056455,0.01665
LOC_Os03g29864,-0.615220664,0.0087
LOC_Os01g53390,-0.615785122,5.00E-05
LOC_Os11g02159,-0.616993927,0.002
LOC_Os11g03900,-0.617450185,0.00065
LOC_Os04g57810,-0.618245082,5.00E-05
LOC_Os07g10500,-0.618799437,0.00025
LOC_Os08g03350,-0.618927296,5.00E-05
LOC_Os03g51390,-0.619154364,0.0004
LOC_Os03g18830,-0.620143492,0.00855
LOC_Os05g01480,-0.620357661,0.0121
LOC_Os06g46950,-0.620587122,0.00605
LOC_Os05g41530,-0.62060439,0.0002
LOC_Os05g24010,-0.62070095,5.00E-05
