,log2FC,padj
LOC_Os03g08500,1.35347,0.0337257
LOC_Os03g10260,1.30368,0.0257628
LOC_Os03g15910,1.47657,0.0278535
LOC_Os03g18130,1.60366,0.0210823
LOC_Os03g19270,2.0499,0.0107018
LOC_Os03g27230,1.22566,0.0280262
LOC_Os03g50960,1.24398,0.0356397
LOC_Os03g61150,3.7859,0.0195509
LOC_Os04g54310,1.79769,0.034443
LOC_Os06g04510,1.28071,0.0399207
LOC_Os07g34260,1.57936,0.011017
LOC_Os07g46670,1.50194,0.00737169
LOC_Os07g49114,1.89893,0.00735021
LOC_Os08g34580,1.23921,0.0408408
LOC_Os08g35160,2.04266,0.0407608
LOC_Os08g37456,2.08438,0.00766859
LOC_Os09g07450,1.70258,0.0483891
LOC_Os09g11480,2.95615,0.0111601
LOC_Os09g23300,1.52009,0.0188103
LOC_Os09g33550,1.63804,0.00763813
LOC_Os10g02490,2.95547,0.000549732
LOC_Os10g05970,1.59681,0.0264873
LOC_Os10g05980,1.7098,0.0185028
LOC_Os10g26150,1.64538,0.041357
LOC_Os10g33540,1.40039,0.0407499
LOC_Os11g34460,1.69544,0.0214502
LOC_Os12g10750,1.38516,0.0124571
LOC_Os12g38750,1.45199,0.0495925
LOC_Os07g29310,-1.49957,0.0169231
LOC_Os01g41960,-4.13684,0.00190428
LOC_Os01g63210,-2.79922,0.0443363
LOC_Os03g15100,-4.73045,0.0347708
LOC_Os05g38530,-1.26917,0.0275441
LOC_Os08g33550,-5.84288,1.24021E-06
LOC_Os08g33580,-5.77098,0.00935804
LOC_Os10g30240,-1.79769,0.00853625
LOC_Os12g34018,-1.48831,0.0451824
