,log2FC,padj
LOC_Os03g21040,3.085320303,5.00E-05
LOC_Os07g37210,3.084730198,5.00E-05
LOC_Os02g12090,3.082275014,0.00925
LOC_Os03g01300,3.081164873,5.00E-05
LOC_Os01g03320,3.078792451,5.00E-05
LOC_Os01g42520,3.036302528,5.00E-05
LOC_Os10g32980,3.022067528,5.00E-05
LOC_Os03g52370,3.01302135,5.00E-05
LOC_Os11g02540,2.995565053,5.00E-05
LOC_Os12g37260,2.991538312,5.00E-05
LOC_Os05g20470,2.981597014,0.0013
LOC_Os03g35640,2.979622072,0.00015
LOC_Os01g02010,2.978618274,0.00845
LOC_Os06g08250,2.965786234,0.0083
LOC_Os01g58640,2.96009219,5.00E-05
LOC_Os12g36210,2.958589577,5.00E-05
LOC_Os05g46610,2.937529922,5.00E-05
LOC_Os11g35310,2.926875094,5.00E-05
LOC_Os03g52380,2.926350015,5.00E-05
LOC_Os08g02500,2.916610634,0.0068
LOC_Os03g43650,2.915575105,5.00E-05
LOC_Os04g19740,2.899780067,5.00E-05
LOC_Os04g10350,2.897820043,5.00E-05
LOC_Os05g48650,2.893687377,5.00E-05
LOC_Os04g49650,2.888725982,5.00E-05
LOC_Os05g30010,2.886960835,5.00E-05
LOC_Os06g06250,2.882229267,5.00E-05
LOC_Os01g54620,2.881588587,5.00E-05
LOC_Os05g48900,2.881219619,5.00E-05
LOC_Os03g18300,2.87707035,0.0109
LOC_Os08g01510,2.876546488,0.0098
LOC_Os01g04050,2.870643246,5.00E-05
LOC_Os11g10800,2.865003979,5.00E-05
LOC_Os03g01320,2.86435002,5.00E-05
LOC_Os04g38042,2.855277548,5.00E-05
LOC_Os11g35080,2.850251897,0.0005
LOC_Os09g14700,2.846510804,0.00035
LOC_Os09g37976,2.83662668,0.00085
LOC_Os11g39990,2.828443553,5.00E-05
LOC_Os01g46970,2.826276659,5.00E-05
LOC_Os05g13940,2.819226436,5.00E-05
LOC_Os03g54750,2.808149269,5.00E-05
LOC_Os04g05050,2.807004799,5.00E-05
LOC_Os01g62770,2.806859415,5.00E-05
LOC_Os02g57840,2.800681041,5.00E-05
LOC_Os04g38680,2.798198976,5.00E-05
LOC_Os06g17430,2.797622556,0.01355
LOC_Os03g58290,2.796981034,5.00E-05
LOC_Os01g67090,2.787779561,5.00E-05
LOC_Os04g53760,2.779362149,5.00E-05
LOC_Os07g40890,2.777412749,0.01205
LOC_Os10g25090,2.77427639,5.00E-05
LOC_Os03g52040,2.772269333,5.00E-05
LOC_Os07g36400,2.771169977,0.0019
LOC_Os03g57460,2.758571443,5.00E-05
LOC_Os06g21210,2.75461413,5.00E-05
LOC_Os03g16940,2.752181663,5.00E-05
LOC_Os04g43200,2.741001005,5.00E-05
LOC_Os11g05410,2.737785805,0.0087
LOC_Os11g03540,2.737780253,5.00E-05
LOC_Os07g06680,2.729845013,5.00E-05
LOC_Os05g04500,2.722697119,5.00E-05
LOC_Os04g43400,2.720493388,5.00E-05
LOC_Os09g23300,2.716738715,5.00E-05
LOC_Os05g11010,2.714143905,5.00E-05
LOC_Os09g25490,2.714029098,5.00E-05
LOC_Os11g03910,2.713888806,5.00E-05
LOC_Os05g03070,2.706952705,5.00E-05
LOC_Os12g25660,2.700290901,5.00E-05
LOC_Os03g37520,2.699334453,5.00E-05
LOC_Os07g10770,2.697723481,5.00E-05
LOC_Os09g07450,2.696173607,5.00E-05
LOC_Os03g08520,2.6917948,5.00E-05
LOC_Os12g25090,2.68457,5.00E-05
LOC_Os04g39930,2.684317316,5.00E-05
LOC_Os04g43800,2.68405625,5.00E-05
LOC_Os07g07920,2.680535599,0.00175
LOC_Os08g20130,2.67749662,0.015
LOC_Os06g44190,2.676643007,5.00E-05
LOC_Os03g60580,2.672999266,5.00E-05
LOC_Os10g07010,2.671107119,5.00E-05
LOC_Os03g07180,2.667160346,0.0007
LOC_Os07g46990,2.664642055,5.00E-05
LOC_Os02g15860,2.662700208,0.0008
LOC_Os05g45110,2.662273113,0.0023
LOC_Os02g52780,2.659763042,5.00E-05
LOC_Os06g05550,2.658730085,0.0024
LOC_Os03g52390,2.653799585,5.00E-05
LOC_Os01g03310,2.648277122,5.00E-05
LOC_Os12g37690,2.647695307,5.00E-05
LOC_Os01g73110,2.646734033,5.00E-05
LOC_Os09g07440,2.644982189,5.00E-05
LOC_Os12g43450,2.637316795,0.00025
LOC_Os07g22930,2.635861629,5.00E-05
LOC_Os01g48550,2.633182475,5.00E-05
LOC_Os01g40094,2.632128085,5.00E-05
LOC_Os02g33550,2.631091484,0.00035
LOC_Os09g09930,2.622137033,5.00E-05
LOC_Os03g12680,2.618841684,0.0022
LOC_Os04g01960,2.618810238,0.00125
LOC_Os04g33450,2.618588867,5.00E-05
LOC_Os03g16920,2.614894347,0.0001
LOC_Os09g32470,2.612600098,5.00E-05
LOC_Os10g41480,2.607630632,5.00E-05
LOC_Os03g42830,2.605352421,5.00E-05
LOC_Os11g17504,2.601876309,5.00E-05
LOC_Os10g25040,2.599784398,5.00E-05
LOC_Os03g16170,2.593720412,5.00E-05
LOC_Os10g16974,2.59075244,5.00E-05
LOC_Os05g42070,2.590243936,5.00E-05
LOC_Os06g40170,2.588373028,5.00E-05
LOC_Os01g03360,2.587788017,5.00E-05
LOC_Os01g46120,2.581212396,0.01705
LOC_Os07g23120,2.579422791,5.00E-05
LOC_Os06g48300,2.578872323,5.00E-05
LOC_Os09g36350,2.574871386,5.00E-05
LOC_Os07g44280,2.569154073,0.01525
LOC_Os06g01440,2.546858603,5.00E-05
LOC_Os03g02460,2.545757767,5.00E-05
LOC_Os03g03164,2.545413914,0.00075
LOC_Os06g03640,2.544980809,5.00E-05
LOC_Os07g46920,2.541379696,5.00E-05
LOC_Os05g41380,2.537480627,0.00155
LOC_Os06g49660,2.535930188,0.0001
LOC_Os03g05880,2.535702316,5.00E-05
LOC_Os02g56860,2.531732542,5.00E-05
LOC_Os03g57970,2.530529025,5.00E-05
LOC_Os03g22200,2.52549612,5.00E-05
LOC_Os03g53360,2.524505628,5.00E-05
LOC_Os11g26010,2.522050148,5.00E-05
