,log2FC,padj
LOC_Os01g57880,10.05975793,0.02451603
LOC_Os01g44130,10.0562646,0.000353504
LOC_Os04g46130,10.03696318,0.00211295
LOC_Os05g25540,10.02758854,0.001392581
LOC_Os12g29500,10.02198247,0.004071153
LOC_Os04g56430,10.01681589,1.84E-05
LOC_Os06g17450,10.01189917,0.031503032
LOC_Os04g59370,9.994113522,0.011717515
LOC_Os07g48910,9.983595597,4.92E-05
LOC_Os06g47820,9.978068472,0.004075031
LOC_Os03g47230,9.975946222,0.008216633
LOC_Os12g12590,9.965586346,0.017474101
LOC_Os06g42540,9.958241519,0.048990068
LOC_Os02g15690,9.958241519,0.049215163
LOC_Os03g30470,9.95406931,0.000473036
LOC_Os11g07090,9.914385706,0.019475902
LOC_Os04g42620,9.887115023,0.00108031
LOC_Os01g58850,9.882844675,0.000112281
LOC_Os06g43304,9.822612384,0.000266107
LOC_Os05g04215,9.790208702,0.01746358
LOC_Os01g21034,9.786253918,0.011842361
LOC_Os08g23870,9.779745288,0.01135744
LOC_Os11g09180,9.764333663,0.000478039
LOC_Os03g28040,9.733415594,0.016720418
LOC_Os08g37150,9.729811226,0.021195448
LOC_Os05g33140,9.722189556,0.008929841
LOC_Os08g41750,9.714575728,0.001060909
LOC_Os02g17620,9.711442309,0.001660674
LOC_Os02g41780,9.707239294,0.024198274
LOC_Os06g09340,9.6984478,0.037586123
LOC_Os12g43110,9.697170398,0.031923107
LOC_Os02g32650,9.693178372,0.003355294
LOC_Os10g08026,9.65986376,0.004579322
LOC_Os12g02030,9.642663547,0.000187012
LOC_Os02g09930,9.635952666,0.004824234
LOC_Os01g11700,9.630644119,0.019409444
LOC_Os01g19750,9.629437993,0.019423732
LOC_Os01g33160,9.593905234,0.004407273
LOC_Os02g08220,9.560048014,0.012055374
LOC_Os08g08980,9.558264388,0.035150208
LOC_Os01g68510,9.554310031,0.000731304
LOC_Os04g55120,9.552816962,0.030594971
LOC_Os01g07560,9.517048598,0.000321557
LOC_Os09g25690,9.512749412,0.012165175
LOC_Os03g06670,9.508939841,0.035018319
LOC_Os05g36990,9.45713304,0.01302593
LOC_Os02g33720,9.451200963,0.042925757
LOC_Os05g50680,9.448808171,0.010703694
LOC_Os10g07200,9.437557562,0.013422111
LOC_Os08g04240,9.431656937,0.008604217
LOC_Os02g56920,9.427349537,0.010102922
LOC_Os03g63280,9.424071537,0.010019655
LOC_Os11g14390,9.389621979,0.029980677
LOC_Os10g30150,9.372265592,0.010889903
