,log2FC,padj
LOC_Os11g04040,4.437986037,2.97E-05
LOC_Os07g46860,4.434193016,0.002116575
LOC_Os01g63380,4.406319096,0.002116575
LOC_Os07g04560,4.395018064,2.69E-05
LOC_Os10g39190,4.395017581,0.000399481
LOC_Os02g36280,4.386966345,8.31E-06
LOC_Os02g47090,4.370230909,1.59E-05
LOC_Os05g36230,4.364726677,0.000444759
LOC_Os05g46790,4.318111724,1.83E-05
LOC_Os06g13700,4.294233617,0.026706022
LOC_Os02g36285,4.289104036,0.003029173
LOC_Os07g30410,4.253400846,0.000620821
LOC_Os07g30510,4.253400846,0.000620821
LOC_Os01g52530,4.237531688,1.09E-05
LOC_Os09g33610,4.226720306,0.00365261
LOC_Os12g13800,4.150625116,0.000882847
LOC_Os09g37880,4.142977817,0.000142146
LOC_Os08g27870,4.127775339,0.005404101
LOC_Os06g33880,4.123923134,9.59E-05
LOC_Os10g30390,4.060016768,6.68E-05
LOC_Os01g71840,4.047544833,4.13E-05
LOC_Os01g67200,4.046706902,0.00012852
LOC_Os03g45960,4.027973355,5.71E-05
LOC_Os03g02470,4.021541418,0.006635587
LOC_Os08g04350,4.020664216,0.001281795
LOC_Os08g24200,4.001104467,0.001458763
LOC_Os01g42860,3.987088315,2.93E-05
LOC_Os04g01470,3.98138295,4.00E-05
LOC_Os12g02450,3.979619147,0.000351919
LOC_Os02g36110,3.965312706,2.84E-05
LOC_Os04g10010,3.961160759,2.84E-05
LOC_Os07g02690,3.940781915,0.001664638
LOC_Os08g38800,3.899339743,0.000120587
LOC_Os05g30760,3.881867502,0.000827393
LOC_Os09g36680,3.875116393,3.42E-05
LOC_Os12g39280,3.866511601,0.010215989
LOC_Os08g40270,3.861046844,0.000201477
LOC_Os04g10060,3.860781796,4.83E-05
LOC_Os12g02210,3.837591241,0.001013156
LOC_Os07g26110,3.808711204,0.000131827
LOC_Os06g37010,3.770774902,0.000171561
LOC_Os10g23310,3.738363456,0.000381646
LOC_Os10g11889,3.738223631,0.016225581
LOC_Os10g31290,3.738223631,0.016225581
LOC_Os01g28450,3.713306055,0.00016887
LOC_Os12g05220,3.694326241,0.010510413
LOC_Os03g61500,3.692794244,0.016225581
LOC_Os06g47560,3.692794244,0.016225581
LOC_Os07g03970,3.67058189,0.003915642
LOC_Os03g37290,3.645887678,0.020717199
LOC_Os04g32610,3.645887678,0.020717199
LOC_Os07g03790,3.645887678,0.020717199
LOC_Os10g28350,3.591566,0.00031988
LOC_Os01g73200,3.59091511,0.000115517
LOC_Os08g29760,3.57802225,0.000440359
LOC_Os08g07100,3.569852964,0.000113582
LOC_Os07g39860,3.551699474,0.001457173
LOC_Os01g25300,3.547235441,0.020717199
LOC_Os03g55220,3.547235441,0.020717199
LOC_Os10g09990,3.538564438,0.00018986
LOC_Os05g09440,3.502850567,0.000172263
LOC_Os03g53350,3.495258586,0.026706022
LOC_Os04g25960,3.495258586,0.026706022
LOC_Os04g48850,3.44663677,0.000439891
LOC_Os11g09260,3.441338915,0.026706022
LOC_Os03g09910,3.43107421,0.003598289
LOC_Os02g20360,3.427517639,0.000187729
LOC_Os01g49750,3.405437844,0.000570398
LOC_Os11g35630,3.394468125,0.000827053
LOC_Os08g30100,3.364617361,0.001119686
LOC_Os07g11890,3.327049247,0.034780972
LOC_Os10g07970,3.327049247,0.034780972
LOC_Os08g39730,3.322221767,0.001096763
LOC_Os11g06150,3.31794247,0.000969613
LOC_Os04g10000,3.303798787,0.000318016
LOC_Os10g02250,3.294904717,0.003233264
LOC_Os03g33520,3.266319494,0.045799632
LOC_Os03g52380,3.266319494,0.045799632
LOC_Os06g37300,3.248696067,0.000350394
LOC_Os11g44340,3.245582436,0.0020709
LOC_Os07g03710,3.233855578,0.000630564
LOC_Os12g08850,3.2319444,0.006803492
LOC_Os07g46039,3.210273409,0.003014449
LOC_Os09g38840,3.208312322,0.014149938
LOC_Os07g07930,3.205208744,0.000595269
LOC_Os03g44190,3.202920574,0.045799632
LOC_Os06g14870,3.202920574,0.045799632
LOC_Os06g50200,3.202920574,0.045799632
LOC_Os03g18850,3.197984665,0.000588921
LOC_Os03g04760,3.185595832,0.007826126
LOC_Os01g70490,3.175387702,0.000472923
LOC_Os08g04560,3.171361363,0.001025749
LOC_Os04g49210,3.161076967,0.000489316
LOC_Os08g37020,3.15201531,0.016551802
LOC_Os09g10340,3.144796027,0.00094212
LOC_Os01g10110,3.137417734,0.018334706
LOC_Os06g38660,3.1172585,0.000643419
LOC_Os01g22336,3.101130271,0.018334706
LOC_Os02g36190,3.097505624,0.000621257
LOC_Os03g52390,3.095655701,0.00101878
LOC_Os06g13880,3.063906483,0.022314819
LOC_Os12g32390,3.062168088,0.006319303
LOC_Os03g13210,3.061807898,0.004860852
LOC_Os04g09900,3.049950771,0.000711432
LOC_Os03g58320,3.031643994,0.000817359
LOC_Os04g57800,3.02569677,0.022314819
LOC_Os06g51050,3.006412337,0.00135429
LOC_Os07g10850,2.986075556,0.00127156
LOC_Os05g36220,2.982285787,0.008030972
LOC_Os11g44750,2.981697075,0.001051227
LOC_Os01g03390,2.963989967,0.002175469
LOC_Os06g20790,2.959539738,0.001376363
LOC_Os06g46160,2.956450159,0.002498731
LOC_Os01g10590,2.95406595,0.01012814
LOC_Os12g12080,2.904592523,0.033664757
LOC_Os07g23410,2.896292712,0.00731957
LOC_Os01g35330,2.89262891,0.001257562
LOC_Os09g38850,2.849121035,0.004854398
LOC_Os04g17660,2.842725123,0.002207886
LOC_Os02g13780,2.837435956,0.014252316
LOC_Os09g37200,2.835372313,0.007458047
LOC_Os01g02680,2.817812484,0.041756881
LOC_Os02g30090,2.817812484,0.041756881
LOC_Os04g25060,2.81664496,0.004863127
LOC_Os01g42380,2.812108377,0.001673382
LOC_Os07g34280,2.78253658,0.004926933
LOC_Os02g43470,2.773898956,0.004624411
LOC_Os07g48050,2.77328366,0.002395373
LOC_Os03g32230,2.772813066,0.009033387
LOC_Os11g31060,2.772383096,0.041756881
LOC_Os01g52330,2.75492109,0.005543636
LOC_Os12g11420,2.750866944,0.006079527
LOC_Os04g03210,2.736638899,0.017459041
LOC_Os06g12370,2.736638899,0.017459041
LOC_Os10g42020,2.720227223,0.046195495
LOC_Os07g04010,2.709297661,0.012693427
LOC_Os09g08130,2.708044068,0.002357555
LOC_Os05g04930,2.702641251,0.006995835
LOC_Os01g31370,2.692953305,0.007150342
LOC_Os01g50400,2.688263333,0.020429716
LOC_Os02g36210,2.685365078,0.002499497
LOC_Os04g25650,2.684495475,0.006079527
LOC_Os01g50350,2.68367915,0.027120138
LOC_Os06g39780,2.682708993,0.003188027
LOC_Os01g61610,2.673573625,0.011004551
LOC_Os07g03920,2.65155176,0.003499502
LOC_Os01g61510,2.650526939,0.004760518
LOC_Os05g40070,2.649937851,0.03224147
LOC_Os02g06630,2.640487804,0.008929719
LOC_Os02g53850,2.615388484,0.03224147
LOC_Os04g35250,2.615388484,0.03224147
LOC_Os03g22820,2.609468181,0.02310992
LOC_Os11g10710,2.602699942,0.005359727
LOC_Os07g08430,2.601530286,0.003295813
LOC_Os12g27350,2.600320904,0.010496335
LOC_Os03g63330,2.585029244,0.003655306
LOC_Os06g05420,2.578849848,0.010280682
LOC_Os08g02230,2.558635711,0.004202669
LOC_Os06g38670,2.557327995,0.006837595
LOC_Os04g44250,2.554475891,0.014138806
LOC_Os08g30490,2.550065604,0.011101378
LOC_Os01g60020,2.537338052,0.005549284
LOC_Os07g46846,2.537152167,0.004197162
LOC_Os04g58090,2.528566188,0.009431722
LOC_Os04g10160,2.526567045,0.004267052
LOC_Os06g37224,2.52631068,0.008501889
LOC_Os07g41060,2.510552327,0.004813816
LOC_Os02g26770,2.506480143,0.046195495
LOC_Os01g21250,2.506426695,0.004764259
LOC_Os04g05650,2.505821501,0.007433411
LOC_Os02g40664,2.505492943,0.009969137
LOC_Os12g24650,2.491309852,0.018523963
LOC_Os02g05970,2.487397868,0.01468201
LOC_Os04g22080,2.470589869,0.006139744
LOC_Os06g43080,2.469994389,0.030962986
LOC_Os11g34610,2.469994389,0.030962986
LOC_Os03g08320,2.46493253,0.00574192
LOC_Os07g24830,2.461684866,0.007653789
LOC_Os08g23150,2.460306665,0.005399264
LOC_Os01g58290,2.455725511,0.007550978
LOC_Os11g37210,2.426893711,0.011343315
LOC_Os03g52910,2.421726788,0.013623884
LOC_Os01g03330,2.420818156,0.009171255
LOC_Os03g22230,2.418367506,0.008359854
LOC_Os01g20206,2.417379383,0.008266063
LOC_Os12g27220,2.415445605,0.005931186
LOC_Os01g09990,2.41430038,0.007466473
LOC_Os12g12190,2.411427551,0.02308602
LOC_Os09g36700,2.39664348,0.011627899
LOC_Os06g37410,2.38739447,0.015534855
LOC_Os07g09190,2.386464112,0.006497221
LOC_Os10g05020,2.38267258,0.019453666
LOC_Os02g41510,2.380775711,0.019102998
LOC_Os01g71700,2.379342062,0.042028125
LOC_Os07g37730,2.379089141,0.008190659
LOC_Os09g21840,2.373625418,0.034088492
LOC_Os12g26290,2.370595197,0.007773355
LOC_Os01g03320,2.365779015,0.006951947
LOC_Os10g37660,2.360774157,0.011764679
LOC_Os07g02570,2.35698751,0.014442841
LOC_Os06g35700,2.336054201,0.008467484
LOC_Os03g57640,2.322031643,0.012826587
LOC_Os06g51060,2.308860282,0.0095318
LOC_Os12g25660,2.303036561,0.015088997
LOC_Os04g13210,2.299613797,0.010265566
LOC_Os04g09260,2.286125079,0.012316782
LOC_Os04g34490,2.285430203,0.013916448
LOC_Os09g20820,2.28267217,0.021003933
LOC_Os04g55980,2.259825952,0.025494123
LOC_Os05g01140,2.248502709,0.010685803
LOC_Os11g41410,2.240001202,0.026168335
LOC_Os04g43680,2.227156163,0.013028963
LOC_Os01g04050,2.226043266,0.010678466
LOC_Os07g36570,2.218888009,0.014244437
LOC_Os02g47370,2.213929728,0.044697393
LOC_Os03g13300,2.205688915,0.013906669
LOC_Os01g50420,2.202658322,0.02644669
LOC_Os04g47320,2.201056788,0.029056273
LOC_Os12g16720,2.200244848,0.011817316
LOC_Os10g31330,2.188476085,0.011892823
LOC_Os08g31850,2.179721465,0.020180045
LOC_Os03g04890,2.170188367,0.019500428
LOC_Os12g14440,2.166307076,0.012600024
LOC_Os09g27260,2.165003385,0.032224685
LOC_Os01g38650,2.164101897,0.021867255
LOC_Os01g58130,2.155960022,0.024174514
LOC_Os10g38340,2.141227527,0.046781564
LOC_Os01g03340,2.135284576,0.014706613
LOC_Os04g59150,2.133463056,0.014978633
LOC_Os02g02930,2.130394981,0.014294696
LOC_Os02g53100,2.127220039,0.035521524
LOC_Os01g13610,2.124043099,0.024932437
LOC_Os07g25050,2.119314944,0.03039573
LOC_Os11g37700,2.115331014,0.01761194
LOC_Os08g30770,2.111582415,0.022490448
LOC_Os12g03050,2.095179999,0.049814168
LOC_Os04g51830,2.091179285,0.046377407
LOC_Os03g61829,2.084962345,0.021935911
