,log2FC,padj
LOC_Os06g09980,2.558389054,5.26E-09
LOC_Os05g16420,2.550928687,9.96E-11
LOC_Os07g46950,2.548244629,0.006742187
LOC_Os01g15340,2.544296538,0.010133215
LOC_Os02g09830,2.525898047,0.008350221
LOC_Os07g06960,2.516704256,0.018209047
LOC_Os05g37060,2.513710529,0.003852603
LOC_Os09g33530,2.513560971,0.000818825
LOC_Os04g56030,2.508854799,0.004312507
LOC_Os05g23250,2.500416348,0.021486748
LOC_Os12g07030,2.498011471,0.000181355
LOC_Os10g25030,2.489885531,1.23E-12
LOC_Os08g30770,2.484491875,0.009765546
LOC_Os09g10010,2.483624591,5.40E-11
LOC_Os11g38160,2.475919546,6.11E-06
LOC_Os01g18860,2.460367375,2.26E-06
LOC_Os07g13780,2.441173541,0.040129483
LOC_Os02g16070,2.433761374,0.006861777
LOC_Os04g56040,2.425077393,0.000686251
LOC_Os11g25700,2.413225102,0.003403652
LOC_Os04g58090,2.410278886,0.023178528
LOC_Os12g42200,2.396117797,0.01572884
LOC_Os07g48450,2.395802645,1.81E-06
LOC_Os08g31950,2.389630353,0.007874808
LOC_Os03g61360,2.356858998,0.002039388
LOC_Os09g16540,2.356098643,0.018976153
LOC_Os08g01940,2.35588377,0.000129208
LOC_Os01g14520,2.350311958,3.05E-05
LOC_Os02g19470,2.348055427,0.00256696
LOC_Os01g03330,2.340677835,0.002554119
LOC_Os12g41910,2.340264859,0.017573233
LOC_Os05g28740,2.339532232,0.018839674
LOC_Os03g26490,2.320931662,0.002036382
LOC_Os01g60250,2.314285609,0.018046199
LOC_Os07g07410,2.312075777,7.71E-10
LOC_Os04g01910,2.311963808,0.01536452
LOC_Os01g64180,2.30735285,0.005646722
LOC_Os12g43970,2.305855965,0.006317593
LOC_Os06g35850,2.297493686,0.040329315
LOC_Os01g70050,2.282965422,0.015604655
LOC_Os04g34370,2.272945363,1.73E-05
LOC_Os10g02070,2.256278068,3.36E-05
LOC_Os09g15050,2.256266817,0.011656087
LOC_Os07g01904,2.254482673,5.02E-14
LOC_Os11g03300,2.247951255,2.84E-07
LOC_Os03g09170,2.245414211,0.000793405
LOC_Os03g16950,2.23741073,0.001849586
LOC_Os03g19670,2.231656438,0.000644947
LOC_Os07g31244,2.22905244,0.024637635
LOC_Os11g05494,2.212757629,0.005931446
LOC_Os06g05450,2.211866294,4.49E-06
LOC_Os06g28050,2.201030713,0.002348432
LOC_Os02g49860,2.194667827,6.18E-05
LOC_Os08g38610,2.165887316,0.005775086
LOC_Os05g23950,2.152822513,0.026431516
LOC_Os01g56450,2.15045047,0.017658151
LOC_Os09g21180,2.146119962,0.000380499
LOC_Os02g02800,2.142380816,0.036184114
LOC_Os06g06490,2.141995205,0.00264308
LOC_Os06g51060,2.136084701,0.020155831
LOC_Os02g01590,2.132496409,1.84E-12
LOC_Os09g28210,2.131310632,4.26E-07
LOC_Os04g43200,2.129291344,8.00E-05
LOC_Os01g62190,2.128992429,0.019832933
LOC_Os03g15960,2.114175372,0.003810535
LOC_Os08g09060,2.111183117,6.53E-05
